Source,Purchase Date,Boxes,Per Box USD,Total,Set,Packs Per Box,#of boxes stashed,LOOSE/CASE
Swivel,2025-02-07,2,$38.00,$76.00,Mask of Change,30,0,L
Swivel,2025-02-07,2,$38.00,$76.00,Stellar Miracle,30,0,L
Swivel,2025-02-07,2,$38.00,$76.00,Night Wanderer,30,0,L
Swivel,2025-02-26,2,$38.00,$76.00,Mask of Change,30,0,L
Swivel,2025-02-26,2,$38.00,$76.00,Stellar Miracle,30,0,L
Swivel,2025-02-26,5,$38.00,$190.00,Night Wanderer,30,0,L
Swivel,2025-02-28,20,$72.00,"$1,440.00",Battle Partners,30,0,L
Swivel,2025-03-12,12,$73.33,$880.00,Battle Partners,30,0,C
Swivel,2025-03-12,12,$148.33,"$1,780.00",Pokemon 151,20,12,C
Swivel,2025-03-12,12,$78.33,$940.00,Super Electric Breaker,30,2,C
probstein,2025-03-25,12,$140.13,"$1,681.53",Pokemon 151,20,6,L
Gaaki,2025-03-23,5,$97.24,$486.20,Terastal Festival,30,1,L
Gaaki,2025-03-23,13,$96.54,"$1,255.02",Hot Air Arena,30,0,L
Gaaki,2025-03-23,2,$72.00,$144.00,Battle Partners,30,2,L
Gaaki,2025-04-18,2,$32.23,$64.47,Lillie Collection File,6,1,L
Gaaki,2025-04-18,5,$66.44,$332.20,Shiny Treasure ex,10,1,L
Gaaki,2025-04-18,5,$43.27,$216.34,Stellar Miracle,30,0,L
Gaaki,2025-04-18,5,$44.00,$220.01,Night Wanderer,30,0,L
Gaaki,2025-04-18,1,$153.61,$153.61,Pokemon 151,20,1,L
Gaaki,2025-04-18,1,$106.53,$106.53,Terastal Festival,10,1,L
Gaaki,2025-04-18,5,$91.82,$459.10,Hot Air Arena,30,0,L