Pack Sales Analysis,,,,,,,,,,,,,
Set Name,Orders,Units,Item Sales,Shipping Charged,Shipping Cost,eBay Fees,Total Revenue,Net Revenue,Profit/Unit,Shipping Profit,Low Price,High Price,Refunded Orders
Battle Partners,279,558,$1708.48,$349.36,$219.36,$320.37,$2206.71,$1517.70,$2.72,$130.00,$1.38,$7.00,13
Hot Air Arena,117,234,$634.65,$144.93,$96.57,$116.11,$823.18,$566.90,$2.42,$48.36,$0.88,$7.25,5
Mask of Change,19,38,$70.86,$23.17,$11.81,$15.50,$100.80,$66.72,$1.76,$11.36,$1.12,$2.75,3
Night Wanderer,35,70,$168.43,$43.75,$28.29,$32.96,$225.61,$150.93,$2.16,$15.46,$1.00,$5.75,0
Pokemon 151,25,50,$343.77,$31.25,$26.18,$52.88,$402.65,$295.15,$5.90,$5.07,$6.00,$8.50,0
Stellar Miracle,10,20,$57.48,$12.40,$7.48,$10.82,$74.98,$51.58,$2.58,$4.92,$1.96,$3.75,0
Super Electric Breaker,97,194,$551.01,$121.15,$71.81,$106.94,$721.19,$492.32,$2.54,$49.34,$1.50,$7.75,0
Terastal Festival ex,6,12,$78.50,$7.50,$6.32,$12.70,$92.43,$66.98,$5.58,$1.18,$5.50,$7.75,0
,,,,,,,,,,,,,
TOTAL,588,1176,$3613.18,$733.51,$467.82,$668.28,$4647.55,$3208.28,$2.73,$265.69,$0.88,$8.50,21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Slab Sales Analysis,,,,,,,,,,,,,
Set Name,Orders,Units,Item Sales,Shipping Charged,Shipping Cost,eBay Fees,Total Revenue,Net Revenue,Profit/Unit,Shipping Profit,Low Price,High Price,Refunded Orders
,,,,,,,,,,,,,
TOTAL,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Uncategorized Listings,,,,,,,,,,,,,
Title,Quantity,Item Sales,Shipping Charged,Shipping Cost,eBay Fees,Total Revenue,Net Revenue,,,,,,
Galarian Moltres V 080/172 RR S12a VSTAR Universe Pokemon Card Japanese,1,$0.99,$1.25,$0.69,$0.56,$2.35,$0.99,,,,,,
1000+ Japanese Pokémon Cards Bulk Lot Commons/Uncommons No Energies! US Seller,1,$1.25,$6.28,$6.15,$1.15,$7.64,$0.23,,,,,,
Greavard (Shiny) 274/190 Pokemon Shiny Treasure Japanese NM US Seller,1,$0.99,$1.25,$0.49,$0.42,$2.39,$1.26,,,,,,
Terapagos ex 136/187 RR - Pokemon Terastal Festival sv8a - Japanese - US Seller,1,$0.99,$1.25,$0.69,$0.59,$2.33,$0.96,,,,,,
Hisuian Zoroark VSTAR RRR 129/172 Pokémon TCG S12a V Star Universe Japanese Holo,1,$0.99,$1.25,$0.69,$0.57,$2.44,$0.98,,,,,,
1000+ Japanese Pokémon Cards Bulk Lot Commons/Uncommons No Energies! Box B,1,$9.50,$9.39,$2.75,$2.50,$18.89,$13.64,,,,,,
Whimsicott 005/187 Terastal Festival Reverse Holo Poke Ball,1,$0.99,$1.25,$0.69,$0.57,$2.42,$0.98,,,,,,
1500+ Japanese Pokémon Cards Bulk Lot Commons/Uncommons No Energies! US Seller,1,$4.50,$9.39,$9.39,$2.04,$14.73,$1.50,,,,,,
1000+ English + Japanese Pokémon Cards Bulk Lot Commons/Uncommons Box B,1,$16.50,$6.03,$6.03,$3.10,$24.30,$13.40,,,,,,
,,,,,,,,,,,,,
TOTAL UNCATEGORIZED,9,$36.70,$37.34,$27.57,$11.50,$77.49,$33.94,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Refunded/Zero-Value Orders,,,,,,,,,,,,,
Title,Quantity,Item Sales,Shipping Charged,Shipping Cost,eBay Fees,Total Revenue,Net Revenue,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT106,1,$0.00,$0.00,$0.42,$1.15,$0.00,-$1.57,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT126,1,$0.00,$0.00,$0.97,$1.35,$0.00,-$1.27,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT111,1,$0.00,$0.00,$0.42,$1.12,$0.00,-$1.54,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT132,1,$0.00,$0.00,$0.83,$0.93,$0.00,-$1.76,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT133,1,$0.00,$0.00,$0.42,$1.06,$0.00,-$1.48,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT180,1,$0.00,$0.00,$0.42,$0.99,$0.00,-$1.41,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT175,1,$0.00,$0.00,$0.42,$0.72,$0.00,-$1.14,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT121,1,$0.00,$0.00,$0.42,$1.18,$0.00,-$1.60,,,,,,
2 PACKS! - Pokemon Mask of Change Booster Pack x 2 Scarlet & Violet Japanese D,1,$0.00,$0.00,$0.83,$0.78,$0.00,-$1.61,,,,,,
2 PACKS! - Pokemon Mask of Change Booster Pack x 2 Scarlet & Violet Japanese F,1,$0.00,$0.00,$0.83,$1.11,$0.00,-$1.94,,,,,,
2 PACKS! - Pokemon Mask of Change Booster Pack x 2 Scarlet & Violet Japanese B,1,$0.00,$0.00,$0.69,$0.93,$0.00,-$0.99,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOTJ,1,$0.00,$0.00,$0.97,$1.36,$0.00,-$1.27,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT55,1,$0.00,$0.00,$0.42,$1.04,$0.00,-$1.46,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT59,1,$0.00,$0.00,$0.97,$0.61,$0.00,-$1.05,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT44,1,$0.00,$0.00,$0.97,$1.14,$0.00,-$2.11,,,,,,
Battle Partners Booster Pack Japanese Pokemon Card [NEW Sealed Packs x2] LOT57A,1,$0.00,$0.00,$0.97,$1.40,$0.00,-$1.27,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L21,1,$0.00,$0.00,$0.63,$0.77,$0.00,-$1.40,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L19,1,$0.00,$0.00,$0.63,$0.77,$0.00,-$1.40,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L17,1,$0.00,$0.00,$0.63,$0.83,$0.00,-$1.46,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L30,1,$0.00,$0.00,$0.63,$0.62,$0.00,-$1.25,,,,,,
Heat Wave Arena Booster Pack Japanese Pokemon Card TCG SV9a 2x PACKS! L75,1,$0.00,$0.00,$0.42,$1.67,$0.00,-$2.09,,,,,,
,,,,,,,,,,,,,
Total Refunded Orders,21,,,,,,,,,,,,
Total Shipping Costs Lost,$13.91,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Overall Summary,,,,,,,,,,,,,
Total Active Orders,597,,,,,,,,,,,,
Total Refunded Orders,21,,,,,,,,,,,,
Total Items Sold,1185,,,,,,,,,,,,
Total Revenue,$4725.04,,,,,,,,,,,,
Total Net Profit,$3242.22,,,,,,,,,,,,
Total Shipping Profit,$275.46,,,,,,,,,,,,
Total eBay Fees,$679.78,,,,,,,,,,,,